"x" "y" "xl" "yl" "ring" "early" "late"
124 125 124 158 157 124 33
124 282 124 339 127 70 57
124 409 124 443 97 63 34
124 506 124 542 120 84 36
124 626 124 649 100 77 23
124 726 124 763 114 77 37
124 840 124 865 98 73 25
124 938 124 953 77 62 15
124 1015 124 1036 97 76 21
124 1112 124 1161 113 64 49
124 1225 124 1270 133 88 45
124 1358 124 1400 106 64 42
124 1464 124 1506 125 83 42
124 1589 124 1606 73 56 17
124 1662 124 1678 83 67 16
124 1745 124 1773 111 83 28
124 1856 124 1915 170 111 59
124 2026 124 2075 154 105 49
124 2180 124 2213 146 113 33
124 2326 124 2343 119 102 17
124 2445 124 2479 147 113 34
124 2592 124 2644 207 155 52
124 2799 124 2864 166 101 65
124 2965 124 2992 123 96 27
124 3088 124 3107 109 90 19
124 3197 124 3239 163 121 42
124 3360 124 3384 116 92 24
124 3476 124 3494 99 81 18
124 3575 124 3600 122 97 25
124 3697 124 3719 132 110 22
124 3829 124 3852 123 100 23
124 3952 124 3983 344 313 31
124 4296 124 4324 158 130 28
124 4454 124 4479 118 93 25
124 4572 124 4608 126 90 36
124 4698 124 4718 88 68 20
124 4786 124 4800 86 72 14
124 4872 124 4953 114 33 81
124 4986 124 5014 127 99 28
124 5113 124 5146 139 106 33
124 5252 124 5269 230 213 17
124 5482 124 5498 62 46 16
124 5544 124 5560 71 55 16
124 5615 124 5632 97 80 17
124 5712 124 5747 78 43 35
124 5790 124 5820 87 57 30
124 5877 124 5901 121 97 24
124 5998 124 6023 128 103 25
124 6126 124 6149 110 87 23
124 6236 124 6262 104 78 26
124 6340 124 6356 73 57 16
124 6413 124 6429 71 55 16
124 6484 124 6498 74 60 14
124 6558 124 6573 69 54 15
124 6627 124 6642 78 63 15
124 6705 124 6722 85 68 17
124 6790 124 6809 86 67 19
124 6876 124 6892 74 58 16
124 6950 124 6970 88 68 20
124 7038 124 7133 173 78 95
124 7211 124 7235 131 107 24
124 7342 124 7383 178 137 41
124 7520 124 7558 193 155 38
124 7713 124 7773 171 111 60
124 7884 124 7914 127 97 30
124 8011 124 8043 141 109 32
124 8152 124 8205 197 144 53
124 8349 124 8412 196 133 63
124 8545 124 8598 187 134 53
124 8732 124 8786 184 130 54
124 8916 124 8967 174 123 51
124 9090 124 9137 165 118 47
124 9255 124 9291 126 90 36
124 9381 124 9411 139 109 30
124 9520 124 9539 99 80 19
124 9619 124 9636 100 83 17
124 9719 124 9737 89 71 18
124 9808 124 9831 118 95 23
124 9926 124 9951 112 87 25
124 10038 124 10055 91 74 17
124 10129 124 10159 108 78 30
124 10237 124 10258 120 99 21
124 10357 124 10380 142 119 23
124 10499 124 10537 160 122 38
124 10659 124 10684 151 126 25
124 10810 124 10844 154 120 34
124 10964 124 10995 142 111 31
124 11106 124 11134 136 108 28
124 11242 124 11256 354 340 14
124 11596 124 11645 159 110 49
124 11755 124 11773 105 87 18
124 11860 124 11876 90 74 16
124 11950 124 11968 116 98 18
124 12066 124 12123 168 111 57
124 12234 124 12271 114 77 37
124 12348 124 12367 92 73 19
124 12440 124 12485 199 154 45
124 12639 124 12699 173 113 60
124 12812 124 12896 180 96 84
124 12992 124 13029 197 160 37
124 13189 124 13233 226 182 44
124 13415 124 13476 243 182 61
124 13658 124 13703 198 153 45
124 13856 124 13894 145 107 38
124 14001 124 14017 81 65 16
124 14082 124 14127 215 170 45
124 14297 124 14341 171 127 44
124 14468 124 14527 253 194 59
124 14721 124 14911 264 74 190
124 14985 124 15006 38 17 21
124 15023 124 15188 187 22 165
124 15210 124 15267 120 63 57
124 15330 124 15413 115 32 83
124 15445 124 15569 201 77 124
124 15646 124 15790 240 96 144
124 15886 124 15902 67 51 16
124 15953 124 15994 75 34 41
124 16028 124 16061 56 23 33
124 16084 124 16144 121 61 60
124 16205 124 16589 404 20 384
124 16609 124 16629 45 25 20
124 16654 124 16832 303 125 178
124 16957 124 17004 250 203 47
124 17207 124 17311 298 194 104
124 17505 124 17564 79 20 59
124 17584 124 17680 158 62 96
124 17742 124 17970 465 237 228
124 18207 124 18224 40 23 17
124 18247 124 18279 159 127 32
124 18406 124 18486 130 50 80
124 18536 124 18846 754 444 310
124 19290 124 19427 153 16 137
124 19443 124 19484 91 50 41
124 19534 124 19567 316 283 33
124 19850 124 19959 149 40 109
124 19999 124 20069 418 348 70
124 20417 124 20461 288 244 44
124 20705 124 20728 274 251 23
124 20979 124 21209 248 18 230
124 21227 124 21227 NA NA 0
