"x" "y" "distance"
124 125 157
124 282 127
124 409 97
124 506 120
124 626 100
124 726 114
124 840 98
124 938 77
124 1015 97
124 1112 113
124 1225 133
124 1358 106
124 1464 125
124 1589 73
124 1662 83
124 1745 111
124 1856 170
124 2026 154
124 2180 146
124 2326 119
124 2445 147
124 2592 207
124 2799 166
124 2965 123
124 3088 109
124 3197 163
124 3360 116
124 3476 99
124 3575 122
124 3697 132
124 3829 123
124 3952 344
124 4296 158
124 4454 118
124 4572 126
124 4698 88
124 4786 86
124 4872 114
124 4986 127
124 5113 139
124 5252 230
124 5482 62
124 5544 71
124 5615 97
124 5712 78
124 5790 87
124 5877 121
124 5998 128
124 6126 110
124 6236 104
124 6340 73
124 6413 71
124 6484 74
124 6558 69
124 6627 78
124 6705 85
124 6790 86
124 6876 74
124 6950 88
124 7038 173
124 7211 131
124 7342 178
124 7520 193
124 7713 171
124 7884 127
124 8011 141
124 8152 197
124 8349 196
124 8545 187
124 8732 184
124 8916 174
124 9090 165
124 9255 126
124 9381 139
124 9520 99
124 9619 100
124 9719 89
124 9808 118
124 9926 112
124 10038 91
124 10129 108
124 10237 120
124 10357 142
124 10499 160
124 10659 151
124 10810 154
124 10964 142
124 11106 136
124 11242 354
124 11596 159
124 11755 105
124 11860 90
124 11950 116
124 12066 168
124 12234 114
124 12348 92
124 12440 199
124 12639 173
124 12812 180
124 12992 197
124 13189 226
124 13415 243
124 13658 198
124 13856 145
124 14001 81
124 14082 215
124 14297 171
124 14468 253
124 14721 264
124 14985 38
124 15023 187
124 15210 120
124 15330 115
124 15445 201
124 15646 240
124 15886 67
124 15953 75
124 16028 56
124 16084 121
124 16205 404
124 16609 45
124 16654 303
124 16957 250
124 17207 298
124 17505 79
124 17584 158
124 17742 465
124 18207 40
124 18247 159
124 18406 130
124 18536 754
124 19290 153
124 19443 91
124 19534 316
124 19850 149
124 19999 418
124 20417 288
124 20705 274
124 20979 248
124 21227 NA
