"x" "y" "x" "y"
124 125 124 158
124 282 124 339
124 409 124 443
124 506 124 542
124 626 124 649
124 726 124 763
124 840 124 865
124 938 124 953
124 1015 124 1036
124 1112 124 1161
124 1225 124 1270
124 1358 124 1400
124 1464 124 1506
124 1589 124 1606
124 1662 124 1678
124 1745 124 1773
124 1856 124 1915
124 2026 124 2075
124 2180 124 2213
124 2326 124 2343
124 2445 124 2479
124 2592 124 2644
124 2799 124 2864
124 2965 124 2992
124 3088 124 3107
124 3197 124 3239
124 3360 124 3384
124 3476 124 3494
124 3575 124 3600
124 3697 124 3719
124 3829 124 3852
124 3952 124 3983
124 4296 124 4324
124 4454 124 4479
124 4572 124 4608
124 4698 124 4718
124 4786 124 4800
124 4872 124 4953
124 4986 124 5014
124 5113 124 5146
124 5252 124 5269
124 5482 124 5498
124 5544 124 5560
124 5615 124 5632
124 5712 124 5747
124 5790 124 5820
124 5877 124 5901
124 5998 124 6023
124 6126 124 6149
124 6236 124 6262
124 6340 124 6356
124 6413 124 6429
124 6484 124 6498
124 6558 124 6573
124 6627 124 6642
124 6705 124 6722
124 6790 124 6809
124 6876 124 6892
124 6950 124 6970
124 7038 124 7133
124 7211 124 7235
124 7342 124 7383
124 7520 124 7558
124 7713 124 7773
124 7884 124 7914
124 8011 124 8043
124 8152 124 8205
124 8349 124 8412
124 8545 124 8598
124 8732 124 8786
124 8916 124 8967
124 9090 124 9137
124 9255 124 9291
124 9381 124 9411
124 9520 124 9539
124 9619 124 9636
124 9719 124 9737
124 9808 124 9831
124 9926 124 9951
124 10038 124 10055
124 10129 124 10159
124 10237 124 10258
124 10357 124 10380
124 10499 124 10537
124 10659 124 10684
124 10810 124 10844
124 10964 124 10995
124 11106 124 11134
124 11242 124 11256
124 11596 124 11645
124 11755 124 11773
124 11860 124 11876
124 11950 124 11968
124 12066 124 12123
124 12234 124 12271
124 12348 124 12367
124 12440 124 12485
124 12639 124 12699
124 12812 124 12896
124 12992 124 13029
124 13189 124 13233
124 13415 124 13476
124 13658 124 13703
124 13856 124 13894
124 14001 124 14017
124 14082 124 14127
124 14297 124 14341
124 14468 124 14527
124 14721 124 14911
124 14985 124 15006
124 15023 124 15188
124 15210 124 15267
124 15330 124 15413
124 15445 124 15569
124 15646 124 15790
124 15886 124 15902
124 15953 124 15994
124 16028 124 16061
124 16084 124 16144
124 16205 124 16589
124 16609 124 16629
124 16654 124 16832
124 16957 124 17004
124 17207 124 17311
124 17505 124 17564
124 17584 124 17680
124 17742 124 17970
124 18207 124 18224
124 18247 124 18279
124 18406 124 18486
124 18536 124 18846
124 19290 124 19427
124 19443 124 19484
124 19534 124 19567
124 19850 124 19959
124 19999 124 20069
124 20417 124 20461
124 20705 124 20728
124 20979 124 21209
124 21227 124 21227
